Quarter,"Average 
Duration(s)",Maximum Duration(s),Minimum Duration(s),"Total 
trips"
Q1,6233.51,14336400,61,22443
Q2,3854.55,13453200,61,214282
Q3,3762.12,11635000,61,273617
Q4,3181.31,6900970,61,62236
